iter	Accuracy	Logloss
0	0.8435602056	0.6325750398
1	0.847328607	0.5892770303
2	0.8498643669	0.5537884958
3	0.8494179265	0.5197261125
4	0.8543535932	0.4906886452
5	0.8615701756	0.4684888879
6	0.8670236002	0.445175936
7	0.8669733975	0.4271276935
8	0.8669092516	0.4135858943
9	0.8671072577	0.3994537189
10	0.8711658985	0.3894999902
11	0.8710925302	0.3751116016
12	0.8732623894	0.3672484549
13	0.8727425187	0.3572180869
14	0.8744821354	0.3429343092
15	0.8792175362	0.3349747407
16	0.8900112441	0.3286317984
17	0.8960157382	0.3177744231
18	0.8959373207	0.3108129246
19	0.8979431141	0.3040738767
20	0.9045348982	0.292132387
21	0.9044039605	0.2859191626
22	0.9119216863	0.2767853844
23	0.918550567	0.2701266411
24	0.9223856498	0.2618030943
25	0.9240871576	0.2563516596
26	0.9226067479	0.252795616
27	0.9196854397	0.2494771197
28	0.9207910921	0.2468230717
29	0.925973643	0.241143774
30	0.9311908619	0.2388188425
31	0.9311662222	0.2361932517
32	0.9314657053	0.232685778
33	0.9344719819	0.2273739776
34	0.9328241255	0.2243929991
35	0.9424045443	0.2211476825
36	0.9410801491	0.2181843798
37	0.9438354742	0.2140789306
38	0.9437076209	0.2117302441
39	0.9465102659	0.2075183084
40	0.9467937225	0.2045860981
41	0.9468265879	0.2007388974
42	0.9491693934	0.1979466883
43	0.9520309683	0.1958858595
44	0.9533818262	0.1929887099
45	0.9537902985	0.1893734315
46	0.9540747409	0.1877736883
47	0.9545190062	0.1848545241
48	0.9547285732	0.1814741828
49	0.9564373527	0.1783693595
50	0.9590769408	0.1757009034
51	0.9590731671	0.1736629381
52	0.9605187363	0.1693588405
53	0.9631896425	0.1655089033
54	0.9662877402	0.1630684351
55	0.96853416	0.1586840604
56	0.9707147256	0.1573019848
57	0.9725205252	0.1562011203
58	0.972685666	0.1544440528
59	0.9753658029	0.1511829157
60	0.9769060191	0.1490498104
61	0.9769067009	0.148117186
62	0.9794555458	0.1453832811
63	0.9792084059	0.1439678216
64	0.9812120437	0.1404516171
65	0.9816267072	0.1388761481
66	0.9818571068	0.1372501935
67	0.9819146008	0.1367961974
68	0.984034432	0.1342479742
69	0.9846847746	0.1329880436
70	0.9849177226	0.1324196692
71	0.9849321653	0.1302603666
72	0.9852513654	0.1285186237
73	0.9852737829	0.1272281239
74	0.9851201991	0.1265377686
75	0.9853500405	0.1248220656
76	0.985434494	0.1223519836
77	0.9858105322	0.1207493237
78	0.9860031118	0.1199004707
79	0.9860123453	0.1185541691
80	0.986016119	0.1173554834
81	0.9859798357	0.1161054086
82	0.9860896146	0.1155389825
83	0.9861760013	0.1145508266
84	0.9862192922	0.1138400371
85	0.986159576	0.1130679109
86	0.9860359313	0.1122648875
87	0.9860474736	0.1116012171
88	0.9862568083	0.1107385488
89	0.9862616913	0.1097276308
90	0.9862700145	0.1085210377
91	0.9863523656	0.1061090733
92	0.9864358334	0.1042670507
93	0.9864563585	0.1021489278
94	0.9864563585	0.1012574466
95	0.9864633514	0.1006357556
96	0.9863953083	0.09972550758
97	0.9863669961	0.09843227524
98	0.9864724466	0.09618270718
99	0.98675449	0.09501714891
100	0.9869140993	0.09468532584
101	0.9870259843	0.09433024268
102	0.9869409502	0.09251766204
103	0.9869409502	0.09149722401
104	0.9869598188	0.09060267841
105	0.98680121	0.08997118964
106	0.9868421664	0.0889131838
107	0.9869509447	0.08856907552
108	0.9871051274	0.0875957488
109	0.9871736017	0.08653850178
110	0.9871720465	0.08588082846
111	0.987169382	0.08548438829
112	0.98716683	0.08470488454
113	0.9871427448	0.08401191452
114	0.9872807235	0.08372398387
115	0.9873442023	0.08284650598
116	0.9873703972	0.08202174912
117	0.9873761684	0.08148365394
118	0.9873831168	0.08049755779
119	0.9873831168	0.07969678165
120	0.9874046499	0.07783991438
121	0.9881682041	0.07652264296
122	0.9882544488	0.0760002547
123	0.9882612167	0.07528121385
124	0.9882641023	0.07423641053
125	0.9882559928	0.07344310931
126	0.9882597666	0.07250574233
127	0.9883566469	0.07220202863
128	0.9883555339	0.07179116476
129	0.9883584269	0.07107209833
130	0.9883893813	0.06978801563
131	0.9883419831	0.06907796574
132	0.9883462028	0.06739491885
133	0.9883392099	0.0663549178
134	0.9884285613	0.06567200768
135	0.9884482057	0.06480399275
136	0.9884447655	0.06362814621
137	0.9884625211	0.06310151466
138	0.9884625211	0.06221315281
139	0.988477616	0.06146473149
140	0.9884850584	0.06066092997
141	0.9884941611	0.06028958628
142	0.9886934939	0.06001954411
143	0.9888243599	0.05955547515
144	0.9889327899	0.05914816919
145	0.9889468842	0.05848676185
146	0.9891454339	0.05798703693
147	0.9891587525	0.05750596149
148	0.9890903869	0.05711223979
149	0.9890153621	0.05662118818
150	0.9893286676	0.05623404727
151	0.9892590656	0.05569246052
152	0.9892857027	0.05528205897
153	0.9892678273	0.05475026449
154	0.9893278659	0.05419143073
155	0.9892951278	0.05366496528
156	0.9892987891	0.05343173352
157	0.9892973463	0.05297701696
158	0.9892824726	0.0527162664
159	0.9892840314	0.05239871088
160	0.9908317737	0.05170891997
161	0.9908303309	0.05123128054
162	0.990891816	0.05103190233
163	0.9908900286	0.05060837763
164	0.9908895827	0.05031432186
165	0.9909072408	0.04997829307
166	0.9911701907	0.04939502899
167	0.9913557775	0.04914014627
168	0.9913462327	0.04858992885
169	0.9915669751	0.04840748346
170	0.9916332345	0.04801759674
171	0.9916215798	0.04766383509
172	0.9916477747	0.0475383593
173	0.9916534372	0.04727911342
174	0.9916386795	0.04700695018
175	0.9916201555	0.04680635057
176	0.9916096101	0.04662467253
177	0.9916999398	0.046491511
178	0.9917118156	0.04604167379
179	0.991692385	0.04570000221
180	0.9916989318	0.0452280504
181	0.9916994865	0.04496978795
182	0.9916837356	0.0445534224
183	0.9916779645	0.04416596466
184	0.9916824053	0.04392554873
