iter	Passed	Remaining
0	308	246479
1	568	226997
2	872	231760
3	1118	222584
4	1371	218091
5	1657	219301
6	1942	220076
7	2248	222593
8	2579	226697
9	2946	232782
10	3264	234156
11	3566	234231
12	3912	236839
13	4229	237454
14	4560	238650
15	4878	239062
16	5233	241026
17	5559	241520
18	5908	242879
19	6228	242894
20	6556	243226
21	6885	243510
22	7234	244414
23	7556	244315
24	7885	244462
25	8204	244248
26	8527	244145
27	8850	244027
28	9183	244165
29	9498	243795
30	9788	242819
31	10098	242354
32	10440	242661
33	10778	242837
34	11143	243568
35	11486	243763
36	11778	242895
37	12119	243023
38	12430	242546
39	12744	242143
40	13053	241646
41	13411	242042
42	13719	241531
43	14051	241432
44	14395	241517
45	14767	242058
46	15107	242037
47	15442	241939
48	15781	241870
49	16127	241907
50	16470	241886
51	16804	241721
52	17146	241673
53	17489	241617
54	17843	241701
55	18186	241618
56	18523	241461
57	18835	240958
58	19138	240368
59	19464	240062
60	19791	239764
61	20139	239729
62	20479	239575
63	20790	239089
64	21130	238940
65	21461	238679
66	21788	238370
67	22039	237252
68	22354	236823
69	22687	236598
70	23011	236268
71	23351	236113
72	23677	235800
73	24006	235527
74	24334	235234
75	24684	235156
76	25027	235001
77	25368	234820
78	25729	234819
79	26061	234553
80	26405	234391
81	26745	234185
82	27070	233846
83	27411	233648
84	27756	233480
85	28064	232998
86	28365	232468
87	28708	232280
88	29083	232342
89	29430	232177
90	29827	232392
91	30197	232391
92	30588	232538
93	30919	232227
94	31248	231893
95	31568	231502
96	31933	231432
97	32283	231257
98	32634	231076
99	32969	230783
100	33294	230425
101	33607	229978
102	33929	229602
103	34270	229347
104	34572	228839
105	34928	228685
106	35241	228247
107	35557	227830
108	35890	227523
109	36220	227202
110	36543	226832
111	36857	226409
112	37187	226088
113	37519	225773
114	37838	225387
115	38165	225045
116	38484	224658
117	38812	224325
118	39119	223870
119	39434	223462
120	39737	222987
121	40069	222682
122	40424	222497
123	40918	223074
124	41515	224184
125	42238	225942
126	42871	227187
127	43546	228620
128	44181	229811
129	44824	231018
130	45504	232383
131	46134	233467
132	46756	234485
133	47425	235713
134	48073	236808
135	48712	237833
136	49359	238871
137	50023	239966
138	50715	241171
139	51440	242506
140	52111	243558
141	52793	244635
142	53460	245619
143	54118	246537
144	54747	247309
145	55461	248435
146	56107	249238
147	56779	250136
148	57473	251107
149	58073	251651
150	58734	252442
151	59380	253146
152	60030	253852
153	60651	254422
154	61307	255117
155	61919	255615
156	62523	256067
157	63205	256820
158	63794	257184
159	64375	257503
160	64980	257903
161	65615	258411
162	66329	259213
163	67036	259970
164	67644	260328
165	68177	260388
166	68494	259624
167	68899	259193
168	69306	258772
169	69774	258575
170	70333	258711
171	70840	258649
172	71335	258540
173	71753	258146
174	72241	258006
175	72693	257732
176	73213	257694
177	73688	257496
178	74125	257161
179	74558	256813
180	74958	256349
181	75366	255913
182	75776	255487
183	76161	254975
184	76533	254422
185	76955	254037
186	77345	253543
187	77744	253082
188	78295	253112
189	78736	252786
190	79204	252542
191	79707	252407
192	80088	251883
193	80489	251426
194	80887	250958
195	81288	250500
196	81706	250097
197	82203	249931
198	82661	249647
199	83101	249305
200	83490	248810
201	83905	248394
202	84296	247906
203	84689	247426
204	85064	246894
205	85439	246365
206	85836	245900
207	86238	245448
208	86671	245085
209	87065	244613
210	87446	244105
211	87818	243572
212	88229	243148
213	88614	242654
214	88982	242116
215	89368	241625
216	89739	241097
217	90134	240634
218	90508	240115
219	90899	239643
220	91269	239118
221	91638	238589
222	92008	238067
223	92365	237511
224	92751	237032
225	93124	236519
226	93503	236024
227	93853	235455
228	94233	234966
229	94631	234522
230	95026	234070
231	95397	233559
232	95765	233044
233	96134	232529
234	96533	232091
235	96907	231592
236	97288	231112
237	97648	230582
238	98032	230110
239	98408	229620
240	98749	229049
241	99112	228533
242	99517	228111
243	99883	227604
244	100263	227127
245	100625	226612
246	101025	226181
247	101434	225774
248	101805	225280
249	102166	224766
250	102555	224314
251	102928	223829
252	103295	223330
253	103690	222893
254	104065	222413
255	104444	221945
256	104824	221478
257	105186	220974
258	105587	220551
259	105989	220132
260	106393	219716
261	106815	219339
262	107184	218851
263	107566	218393
264	107944	217924
265	108322	217459
266	108695	216984
267	109102	216577
268	109493	216138
269	109897	215725
270	110276	215262
271	110651	214793
272	111012	214297
273	111375	213807
274	111749	213339
275	112149	212921
276	112509	212427
277	112872	211939
278	113242	211467
279	113585	210944
280	113986	210530
281	114401	210142
282	114846	209808
283	115260	209416
284	115676	209029
285	116086	208631
286	116483	208208
287	116916	207850
288	117317	207436
289	117706	207000
290	118108	206589
291	118515	206184
292	118915	205768
293	119338	205391
294	119730	204961
295	120124	204535
296	120515	204106
297	120939	203730
298	121381	203385
299	121817	203028
300	122286	202726
301	122741	202401
302	123190	202064
303	123570	201614
304	124006	201256
305	124396	200823
306	124818	200441
307	125189	199978
308	125554	199506
309	125955	199091
310	126366	198692
311	126764	198272
312	127151	197836
313	127684	197626
314	128201	197389
315	128674	197083
316	129135	196758
317	129613	196458
318	130136	196224
319	130587	195881
320	131006	195489
321	131416	195083
322	131870	194743
323	132390	194499
324	132977	194351
325	133503	194112
326	134078	193941
327	134581	193665
328	135061	193355
329	135539	193041
330	136101	192844
331	136610	192570
332	137136	192320
333	137636	192031
334	138170	191789
335	138652	191472
336	139166	191199
337	139702	190953
338	140166	190609
339	140585	190204
340	141014	189811
341	141440	189413
342	141953	189133
343	142464	188848
344	142944	188520
345	143403	188165
346	143848	187790
347	144313	187441
348	144751	187057
349	145210	186699
350	145693	186371
351	146151	186011
352	146602	185641
353	147029	185240
354	147413	184786
355	147886	184443
356	148334	184068
357	148822	183741
358	149268	183362
359	149711	182980
360	150129	182566
361	150556	182165
362	151017	181803
363	151452	181410
364	151851	180973
365	152281	180574
366	152725	180191
367	153164	179801
368	153519	179314
369	153955	178921
370	154388	178525
371	154816	178122
372	155231	177704
373	155543	177169
374	155913	176702
375	156284	176235
376	156608	175717
377	156980	175253
378	157369	174808
379	157790	174400
380	158175	173951
381	158517	173456
382	158933	173042
383	159327	172605
384	159694	172138
385	160094	171707
386	160492	171275
387	160908	170861
388	161290	170412
389	161670	169961
390	162083	169545
391	162460	169091
392	162828	168628
393	163252	168224
394	163659	167802
395	164018	167331
396	164418	166903
397	164810	166466
398	165204	166032
399	165623	165623
400	166034	165205
401	166487	164830
402	166898	164413
403	167351	164037
404	167770	163627
405	168197	163225
406	168613	162813
407	169002	162374
408	169369	161915
409	169760	161479
410	170150	161042
411	170552	160617
412	170961	160198
413	171362	159772
414	171700	159288
415	172059	158824
416	172459	158397
417	172857	157970
418	173234	157523
419	173616	157081
420	174011	156651
421	174359	156179
422	174747	155744
423	175141	155313
424	175520	154871
425	175907	154435
426	176197	153915
427	176588	153483
428	176974	153048
429	177348	152602
430	177750	152180
431	178121	151733
432	178498	151290
433	178882	150855
434	179195	150359
435	179590	149933
436	180003	149522
437	180379	149080
438	180762	148645
439	181134	148200
440	181487	147741
441	181868	147305
442	182260	146878
443	182658	146456
444	183038	146019
445	183420	145584
446	183825	145168
447	184128	144672
448	184489	144222
449	184874	143790
450	185273	143371
451	185660	142942
452	186009	142484
453	186366	142032
454	186772	141618
455	187160	141190
456	187556	140769
457	187955	140351
458	188322	139908
459	188622	139416
460	189010	138990
461	189391	138558
462	189795	138144
463	190207	137736
464	190617	137326
465	190978	136881
466	191365	136455
467	191719	136005
468	192084	135565
469	192495	135156
470	192898	134741
471	193294	134323
472	193711	133919
473	194073	133476
474	194450	133044
475	194831	132616
476	195233	132201
477	195618	131776
478	196010	131355
479	196424	130949
480	196788	130510
481	197127	130055
482	197470	129603
483	197856	129178
484	198221	128741
485	198601	128314
486	199003	127901
487	199395	127482
488	199781	127059
489	200215	126667
490	200539	126204
491	200930	125786
492	201346	125381
493	201745	124968
494	202147	124555
495	202589	124168
496	203029	123778
497	203443	123373
498	203844	122960
499	204258	122555
500	204731	122185
501	205221	121824
502	205655	121430
503	206061	121019
504	206456	120603
505	206830	120174
506	207171	119726
507	207540	119295
508	207933	118877
509	208335	118465
510	208728	118048
511	209162	117653
512	209588	117255
513	209931	116810
514	210349	116406
515	210759	115999
516	211153	115583
517	211592	115191
518	211971	114766
519	212365	114350
520	212755	113932
521	213203	113545
522	213663	113164
523	214066	112752
524	214397	112303
525	214758	111870
526	215138	111447
527	215526	111028
528	215982	110645
529	216366	110224
530	216701	109779
531	217118	109375
532	217526	108967
533	217965	108574
534	218433	108196
535	218835	107784
536	219201	107355
537	219577	106932
538	219979	106520
539	220361	106100
540	220721	105669
541	221102	105248
542	221486	104828
543	221883	104415
544	222357	104038
545	222749	103623
546	223147	103210
547	223530	102791
548	223902	102367
549	224233	101924
550	224639	101515
551	225127	101144
552	225533	100735
553	225936	100325
554	226317	99905
555	226713	99492
556	227021	99041
557	227461	98648
558	228002	98298
559	228463	97912
560	228898	97516
561	229314	97111
562	229749	96715
563	230153	96305
564	230562	95897
565	230885	95454
566	231147	94986
567	231543	94574
568	231979	94177
569	232360	93759
570	232770	93352
571	233168	92941
572	233570	92531
573	233966	92119
574	234345	91700
575	234707	91275
576	235041	90839
577	235471	90440
578	235820	90010
579	236237	89607
580	236678	89212
581	237104	88812
582	237527	88410
583	237965	88014
584	238405	87619
585	238797	87205
586	239197	86795
587	239599	86386
588	240039	85990
589	240418	85572
590	240797	85155
591	241105	84712
592	241482	84294
593	241875	83882
594	242282	83475
595	242691	83068
596	243080	82655
597	243468	82241
598	243876	81835
599	244279	81426
600	244645	81005
601	244978	80574
602	245272	80130
603	245682	79724
604	246051	79305
605	246424	78888
606	246792	78469
607	247168	78053
608	247561	77642
609	247891	77212
610	248193	76773
611	248560	76355
612	248932	75938
613	249334	75531
614	249708	75115
615	250104	74706
616	250513	74301
617	250917	73894
618	251276	73474
619	251670	73065
620	252133	72676
621	252515	72263
622	252898	71850
623	253278	71437
624	253673	71028
625	254065	70618
626	254464	70211
627	254759	69774
628	255111	69354
629	255500	68944
630	255907	68539
631	256292	68128
632	256656	67711
633	257021	67295
634	257418	66888
635	257781	66472
636	258171	66062
637	258549	65650
638	258907	65233
639	259286	64821
640	259604	64394
641	259985	63983
642	260335	63565
643	260732	63158
644	261102	62745
645	261430	62322
646	261811	61912
647	262203	61504
648	262578	61092
649	262941	60678
650	263295	60262
651	263666	59850
652	263944	59417
653	264315	59006
654	264696	58596
655	265097	58192
656	265497	57787
657	265867	57375
658	266245	56965
659	266634	56558
660	266993	56145
661	267391	55740
662	267778	55332
663	268165	54925
664	268551	54517
665	268942	54111
666	269368	53712
667	269751	53304
668	270129	52895
669	270517	52488
670	270930	52086
671	271309	51677
672	271687	51269
673	272093	50866
674	272509	50464
675	272920	50062
676	273284	49651
677	273682	49246
678	274075	48841
679	274474	48436
680	274831	48024
681	275199	47615
682	275553	47203
683	275911	46792
684	276251	46377
685	276638	45972
686	277006	45562
687	277406	45159
688	277787	44752
689	278194	44349
690	278583	43944
691	279024	43547
692	279435	43145
693	279805	42736
694	280175	42328
695	280560	41922
696	280953	41518
697	281300	41106
698	281686	40701
699	282006	40286
700	282395	39881
701	282769	39475
702	283164	39071
703	283525	38662
704	283889	38254
705	284229	37843
706	284557	37431
707	284929	37024
708	285305	36618
709	285681	36213
710	286061	35807
711	286451	35404
712	286839	35000
713	287225	34595
714	287627	34193
715	288036	33791
716	288431	33388
717	288834	32986
718	289227	32583
719	289610	32178
720	289989	31774
721	290384	31371
722	290762	30966
723	291179	30565
724	291583	30163
725	291985	29761
726	292452	29365
727	292826	28960
728	293231	28558
729	293610	28154
730	293985	27749
731	294344	27343
732	294706	26937
733	295086	26533
734	295375	26121
735	295755	25717
736	296190	25318
737	296610	24918
738	296877	24505
739	297289	24104
740	297686	23702
741	298108	23302
742	298490	22898
743	298865	22495
744	299253	22092
745	299608	21687
746	300007	21285
747	300407	20883
748	300812	20482
749	301220	20081
750	301596	19678
751	301969	19274
752	302318	18869
753	302661	18464
754	303039	18061
755	303450	17661
756	303805	17257
757	304183	16854
758	304559	16451
759	304942	16049
760	305359	15649
761	305741	15246
762	306152	14846
763	306537	14444
764	306943	14043
765	307320	13640
766	307754	13241
767	308163	12840
768	308659	12442
769	309123	12043
770	309622	11645
771	310091	11246
772	310573	10847
773	311012	10447
774	311434	10046
775	311848	9644
776	312329	9245
777	312797	8845
778	313279	8445
779	313702	8043
780	314103	7641
781	314551	7240
782	315010	6839
783	315398	6436
784	315823	6034
785	316235	5632
786	316658	5230
787	317128	4829
788	317529	4426
789	317946	4024
790	318314	3621
791	318686	3219
792	319142	2817
793	319537	2414
794	319942	2012
795	320379	1609
796	320760	1207
797	321129	804
798	321537	402
799	321918	0
